order_id,order_date,region,city,category,sub_category,product,customer_segment,sales,profit,discount,quantity
1001,2024-06-25,South,Bengaluru,Office Supplies,Paper,Paper,Home Office,1347.0,105.64,0.05,9
1002,2024-03-23,North,Chandigarh,Office Supplies,Paper,Paper,Home Office,1922.9,483.03,0.2,6
1003,2024-09-22,South,Bengaluru,Office Supplies,Pen,Pen,Consumer,2621.74,110.61,0.15,8
1004,2024-07-12,South,Bengaluru,Furniture,Chair,Chair,Corporate,1911.78,452.92,0.2,6
1005,2024-04-06,North,Chandigarh,Technology,Laptop,Laptop,Consumer,2649.18,407.22,0.05,1
1006,2024-04-16,South,Chennai,Technology,Laptop,Laptop,Consumer,3880.93,735.78,0.0,9
1007,2024-06-22,South,Chennai,Office Supplies,Paper,Paper,Consumer,1178.91,134.89,0.2,2
1008,2024-09-30,West,Pune,Technology,Laptop,Laptop,Corporate,2379.09,407.41,0.0,4
1009,2024-05-06,West,Mumbai,Furniture,Table,Table,Home Office,1468.68,123.62,0.15,4
1010,2024-02-11,East,Kolkata,Technology,Phone,Phone,Consumer,1361.16,90.15,0.1,4
1011,2024-01-14,South,Chennai,Technology,Laptop,Laptop,Home Office,4019.57,412.44,0.05,8
1012,2024-01-28,West,Pune,Technology,Phone,Phone,Home Office,3686.5,326.98,0.15,7
1013,2024-08-19,East,Bhubaneswar,Office Supplies,Paper,Paper,Corporate,1816.43,150.84,0.2,7
1014,2024-12-09,South,Chennai,Office Supplies,Pen,Pen,Consumer,2973.86,416.33,0.2,3
1015,2024-11-07,East,Kolkata,Technology,Laptop,Laptop,Home Office,1539.35,248.34,0.2,10
1016,2024-03-16,North,Delhi,Office Supplies,Paper,Paper,Consumer,4998.79,438.55,0.2,3
1017,2024-01-19,East,Kolkata,Office Supplies,Paper,Paper,Corporate,1102.39,70.06,0.05,2
1018,2024-10-15,South,Bengaluru,Office Supplies,Paper,Paper,Corporate,2950.72,787.42,0.15,3
1019,2024-02-08,South,Bengaluru,Office Supplies,Paper,Paper,Consumer,2704.44,491.61,0.1,10
1020,2024-01-27,East,Bhubaneswar,Furniture,Chair,Chair,Home Office,729.25,65.52,0.2,7
1021,2024-08-19,North,Delhi,Office Supplies,Pen,Pen,Corporate,1295.03,118.72,0.1,10
1022,2024-09-27,South,Bengaluru,Technology,Laptop,Laptop,Consumer,1511.75,304.16,0.05,8
1023,2024-06-11,West,Pune,Technology,Laptop,Laptop,Corporate,2074.44,383.22,0.05,3
1024,2024-03-19,North,Chandigarh,Technology,Phone,Phone,Corporate,1847.31,407.85,0.05,3
1025,2024-04-22,West,Pune,Technology,Laptop,Laptop,Home Office,1968.8,453.78,0.05,5
1026,2024-04-04,West,Mumbai,Technology,Laptop,Laptop,Home Office,1611.97,118.7,0.0,5
1027,2024-11-29,South,Bengaluru,Furniture,Chair,Chair,Consumer,4613.85,547.37,0.2,3
1028,2024-10-09,West,Mumbai,Office Supplies,Pen,Pen,Consumer,3229.79,780.71,0.15,1
1029,2024-07-12,West,Pune,Technology,Laptop,Laptop,Home Office,1512.8,211.46,0.15,10
1030,2024-01-04,West,Mumbai,Furniture,Table,Table,Corporate,1998.1,122.33,0.15,10
1031,2024-07-09,South,Bengaluru,Furniture,Table,Table,Corporate,4907.51,672.87,0.1,7
1032,2024-09-16,North,Chandigarh,Furniture,Table,Table,Home Office,2585.1,320.89,0.1,3
1033,2024-05-20,East,Bhubaneswar,Furniture,Chair,Chair,Home Office,4522.25,996.31,0.0,8
1034,2024-06-28,West,Mumbai,Technology,Laptop,Laptop,Consumer,230.48,59.99,0.0,2
1035,2024-08-20,West,Mumbai,Technology,Phone,Phone,Home Office,263.99,12.96,0.1,2
1036,2024-12-11,North,Delhi,Office Supplies,Paper,Paper,Corporate,4238.56,282.81,0.0,10
1037,2024-10-30,East,Kolkata,Technology,Laptop,Laptop,Home Office,532.32,43.29,0.1,3
1038,2024-05-31,West,Mumbai,Technology,Laptop,Laptop,Home Office,3482.07,954.3,0.0,9
1039,2024-07-23,East,Bhubaneswar,Furniture,Chair,Chair,Consumer,1455.53,245.45,0.05,5
1040,2024-04-09,West,Pune,Office Supplies,Paper,Paper,Corporate,787.24,191.06,0.15,1
1041,2024-06-11,South,Chennai,Office Supplies,Paper,Paper,Corporate,1907.86,524.67,0.1,8
1042,2024-12-12,East,Kolkata,Technology,Laptop,Laptop,Home Office,1947.85,335.52,0.2,1
1043,2024-07-01,West,Pune,Office Supplies,Pen,Pen,Corporate,419.17,110.73,0.0,10
1044,2024-02-14,East,Bhubaneswar,Office Supplies,Paper,Paper,Consumer,2524.6,512.96,0.1,3
1045,2024-08-28,South,Bengaluru,Office Supplies,Pen,Pen,Consumer,2046.6,268.12,0.15,4
1046,2024-11-30,West,Mumbai,Technology,Phone,Phone,Corporate,1614.02,340.14,0.1,5
1047,2024-03-25,West,Pune,Office Supplies,Pen,Pen,Consumer,602.88,157.09,0.05,6
1048,2024-04-03,West,Mumbai,Technology,Phone,Phone,Home Office,4476.87,1217.25,0.0,6
1049,2024-05-28,East,Kolkata,Furniture,Chair,Chair,Home Office,2705.98,453.12,0.15,1
1050,2024-03-18,North,Delhi,Office Supplies,Paper,Paper,Consumer,4359.06,542.66,0.05,7
1051,2024-01-19,North,Chandigarh,Technology,Phone,Phone,Home Office,3326.96,374.6,0.0,10
1052,2024-04-10,West,Mumbai,Furniture,Table,Table,Home Office,1893.76,242.66,0.05,5
1053,2024-07-07,East,Kolkata,Technology,Laptop,Laptop,Corporate,529.44,128.32,0.0,4
1054,2024-03-27,South,Chennai,Furniture,Chair,Chair,Consumer,3515.16,518.88,0.0,10
1055,2024-05-28,West,Pune,Furniture,Table,Table,Corporate,2447.23,389.45,0.15,1
1056,2024-04-21,South,Chennai,Technology,Phone,Phone,Consumer,3358.3,322.87,0.15,7
1057,2024-11-12,South,Bengaluru,Furniture,Chair,Chair,Consumer,178.99,27.95,0.05,7
1058,2024-10-28,South,Bengaluru,Furniture,Table,Table,Consumer,2062.97,111.47,0.0,2
1059,2024-11-05,South,Chennai,Office Supplies,Pen,Pen,Corporate,3920.39,327.9,0.05,1
